,aspretto di pomodoro di niko romito,bouillabaisse,cacciucco livornese,cappelletti vegani in brodo,ceci in zimino la zuppa ligure per il pranzo di magro,clam chowder,crema di asparagi selvatici e fave,crema di broccoli,crema di ceci e pepite di stoccafisso in pastella,crema di ceci e semi di nigella,crema di fagioli cannellini con mazzancolle e vongole,crema di lenticchie con gamberi,crema di parmigiano,crema di pomodorini gialli,crema di verza e patate,fava greca,flan porri e patate,gazpacho andaluso,jiaozi di gamberi,macco di piselli,maltagliati con ceci,"minestra di farro verza e patate, la ricetta per una consistenza densa e cremosa",minestra di semolino,minestrone di verdure,noodles con zenzero pak choi e lime,pasta e ceci,pasta e fave,pasta e lenticchie,polpette di pane in brodo,polpo alla luciana,"ribollita, la zuppa toscana con i cannellini e il cavolo nero",ribollita: la ricetta originale toscana perfetta,risotto al parmigiano con crema di piselli,risotto radicchio e gorgonzola,risotto speck e mascarpone,scarola e fagioli alla napoletana,tris di canederli,vellutata detox di finocchi e cavolfiore,vellutata di asparagi piselli e patate,vellutata di cavolfiore e ricotta,vellutata di ceci,vellutata di finocchi,"vellutata di finocchi, un primo piatto light, anche se arricchito con la panna",vellutata di lenticchie rosse,"vellutata di patate, porri e funghi",vellutata di porri e patate,vellutata di zucca,vellutata di zucca patate e finocchi light,vellutata fredda di carote e zenzero,vellutata zucca e ricotta,zemin di ceci alla ligure,zuppa alla valdostana,zuppa di baccalà e fagioli,"zuppa di cipolle toscana, una ricetta ispirata alla carabaccia rinascimentale",zuppa di fagioli,zuppa di farro,zuppa di farro e funghi,zuppa di lenticchie e castagne,zuppa di orzo e fagioli,zuppa parmentier
vellutata di porri e patate,0.0,0.0,0.0,0.16,0.0,0.0,0.14,0.08,0.0,0.0,0.0,0.06,0.17,0.0,0.23,0.0,0.62,0.12,0.0,0.0,0.0,0.24,0.0,0.05,0.07,0.0,0.06,0.0,0.06,0.0,0.05,0.04,0.06,0.06,0.06,0.08,0.02,0.07,0.18,0.06,0.0,0.0,0.07,0.06,0.4,1.0,0.06,0.0,0.0,0.24,0.0,0.0,0.06,0.0,0.06,0.04,0.0,0.16,0.0,0.36
vellutata di zucca,0.1,0.04,0.12,0.06,0.15,0.08,0.1,0.12,0.08,0.1,0.14,0.08,0.04,0.1,0.1,0.12,0.1,0.04,0.0,0.06,0.2,0.22,0.1,0.16,0.06,0.1,0.2,0.14,0.15,0.1,0.16,0.1,0.19,0.15,0.16,0.06,0.04,0.17,0.05,0.14,0.12,0.2,0.12,0.0,0.21,0.06,1.0,0.29,0.0,0.1,0.2,0.1,0.1,0.16,0.1,0.19,0.1,0.0,0.14,0.06
vellutata di zucca patate e finocchi light,0.05,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.04,0.04,0.04,0.08,0.0,0.05,0.05,0.05,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.08,0.0,0.05,0.04,0.04,0.04,0.05,0.04,0.03,0.09,0.04,0.0,0.0,0.1,0.05,0.0,0.04,0.1,0.35,0.0,0.0,0.04,0.0,0.29,1.0,0.0,0.0,0.04,0.04,0.04,0.05,0.0,0.04,0.09,0.04,0.04,0.0
vellutata fredda di carote e zenzero,0.0,0.0,0.0,0.09,0.08,0.06,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.08,0.12,0.06,0.21,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.08,0.0,0.0,0.0,0.08,0.11,0.08,0.0,0.07,0.0
vellutata zucca e ricotta,0.06,0.0,0.04,0.13,0.06,0.0,0.17,0.06,0.04,0.06,0.05,0.04,0.14,0.06,0.06,0.06,0.1,0.1,0.0,0.0,0.08,0.1,0.05,0.04,0.06,0.06,0.1,0.0,0.06,0.06,0.09,0.04,0.1,0.06,0.11,0.13,0.02,0.12,0.05,0.1,0.06,0.06,0.06,0.05,0.18,0.24,0.1,0.0,0.0,1.0,0.06,0.0,0.1,0.06,0.06,0.08,0.06,0.09,0.05,0.24
zemin di ceci alla ligure,0.12,0.08,0.13,0.17,0.28,0.18,0.24,0.14,0.09,0.22,0.16,0.1,0.0,0.12,0.12,0.12,0.11,0.05,0.0,0.12,0.55,0.3,0.21,0.18,0.0,0.18,0.16,0.26,0.11,0.12,0.23,0.23,0.16,0.11,0.12,0.07,0.04,0.12,0.06,0.1,0.12,0.16,0.06,0.0,0.14,0.0,0.2,0.04,0.08,0.06,1.0,0.11,0.16,0.18,0.16,0.29,0.11,0.0,0.16,0.0
zuppa alla valdostana,0.06,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.04,0.06,0.1,0.05,0.05,0.06,0.18,0.06,0.06,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0,0.06,0.11,0.1,0.11,0.06,0.14,0.0,0.1,0.11,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,0.12,0.0,0.04,0.0,0.1,0.04,0.0,0.0,0.11,1.0,0.06,0.12,0.0,0.08,0.06,0.0,0.06,0.0
zuppa di baccalà e fagioli,0.12,0.08,0.13,0.07,0.16,0.09,0.12,0.2,0.09,0.16,0.2,0.1,0.05,0.12,0.12,0.12,0.16,0.0,0.0,0.06,0.13,0.15,0.23,0.14,0.0,0.18,0.11,0.1,0.11,0.18,0.14,0.12,0.1,0.06,0.06,0.17,0.04,0.12,0.06,0.1,0.12,0.11,0.0,0.0,0.18,0.06,0.1,0.04,0.0,0.1,0.16,0.06,1.0,0.12,0.24,0.16,0.11,0.04,0.2,0.06
"zuppa di cipolle toscana, una ricetta ispirata alla carabaccia rinascimentale",0.12,0.04,0.09,0.0,0.18,0.1,0.06,0.07,0.1,0.12,0.17,0.1,0.06,0.12,0.12,0.14,0.12,0.0,0.0,0.0,0.18,0.16,0.11,0.1,0.0,0.12,0.18,0.11,0.18,0.12,0.14,0.16,0.17,0.06,0.06,0.07,0.07,0.14,0.06,0.11,0.14,0.12,0.14,0.0,0.14,0.0,0.16,0.05,0.0,0.06,0.18,0.12,0.12,1.0,0.0,0.14,0.18,0.05,0.11,0.0
zuppa di fagioli,0.0,0.08,0.08,0.2,0.11,0.14,0.18,0.07,0.09,0.11,0.06,0.0,0.05,0.0,0.0,0.06,0.0,0.1,0.0,0.12,0.17,0.25,0.16,0.14,0.06,0.18,0.11,0.16,0.06,0.06,0.18,0.12,0.1,0.11,0.12,0.07,0.0,0.06,0.0,0.16,0.12,0.06,0.06,0.1,0.04,0.06,0.1,0.0,0.08,0.06,0.16,0.0,0.24,0.0,1.0,0.29,0.06,0.0,0.1,0.06
zuppa di farro,0.09,0.09,0.16,0.16,0.25,0.16,0.22,0.1,0.14,0.21,0.16,0.07,0.08,0.09,0.09,0.14,0.08,0.08,0.0,0.09,0.29,0.34,0.2,0.16,0.04,0.22,0.21,0.24,0.16,0.18,0.28,0.2,0.16,0.12,0.14,0.1,0.04,0.14,0.04,0.16,0.19,0.12,0.1,0.08,0.14,0.04,0.19,0.04,0.11,0.08,0.29,0.08,0.16,0.14,0.29,1.0,0.12,0.04,0.16,0.04
zuppa di farro e funghi,0.12,0.08,0.13,0.04,0.11,0.09,0.06,0.07,0.14,0.11,0.1,0.1,0.0,0.12,0.12,0.19,0.11,0.1,0.08,0.06,0.22,0.25,0.1,0.14,0.0,0.18,0.11,0.06,0.06,0.18,0.14,0.12,0.16,0.06,0.06,0.14,0.09,0.12,0.1,0.16,0.19,0.16,0.0,0.1,0.27,0.0,0.1,0.09,0.08,0.06,0.11,0.06,0.11,0.18,0.06,0.12,1.0,0.04,0.21,0.0
zuppa di lenticchie e castagne,0.0,0.0,0.1,0.08,0.04,0.04,0.1,0.0,0.04,0.04,0.0,0.29,0.12,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.04,0.05,0.04,0.0,0.04,0.0,0.0,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.0,0.04,0.0,0.09,0.0,0.0,0.04,0.05,0.0,0.04,0.04,1.0,0.09,0.1
zuppa di orzo e fagioli,0.11,0.08,0.2,0.1,0.1,0.08,0.11,0.26,0.17,0.16,0.2,0.09,0.0,0.11,0.11,0.18,0.1,0.14,0.08,0.11,0.24,0.14,0.28,0.21,0.0,0.17,0.1,0.1,0.06,0.17,0.18,0.11,0.15,0.1,0.11,0.23,0.04,0.12,0.1,0.15,0.18,0.16,0.0,0.1,0.13,0.0,0.14,0.04,0.07,0.05,0.16,0.06,0.2,0.11,0.1,0.16,0.21,0.09,1.0,0.0
zuppa parmentier,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.06,0.12,0.0,0.06,0.0,0.19,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.07,0.0,0.06,0.0,0.06,0.0,0.05,0.0,0.06,0.06,0.06,0.08,0.0,0.07,0.06,0.06,0.0,0.0,0.07,0.06,0.16,0.36,0.06,0.0,0.0,0.24,0.0,0.0,0.06,0.0,0.06,0.04,0.0,0.1,0.0,1.0
